ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
6FpXE5rH4rdj4iOyhLWZGG,beatrice binotti,0,9,,-1,-1,0,0,0.0
7DruTvBV7owt1aSAZHsU58,viola beach,42,135540,"english indie rock, warrington indie",2015,2016,3,1,276985.0
2MR6cssG6XCiKDbQnmerDM,kurt atterberg,16,1995,"early modern classical, swedish classical",2000,2023,20,5,6004.0
4VIVfLhLoSMZBcDjw6PWYC,angelo kelly & family,1,65,,-1,-1,0,0,45.0
6RhsbxbsDk5ypSXFkS41J4,marlowe,33,27693,experimental hip hop,2018,2023,16,1,66151.0
4MdrSMmT4iA6b5s8dNFxfQ,monkeysnot,0,3,,2012,2015,2,11,1.0
7ASXh6ohKMLsGIQogCCPin,alfredo leal,0,0,,-1,-1,0,0,3.0
6G19sGLPjRZH6B8SiBHKpv,atlantica,0,626,,2022,2024,7,1,13.0
0zKN3j6F8nXKfdLyKi3mnh,jeff coates,0,25,,2005,2010,3,12,97.0
2LSAb56EixW4AbbEo2xnSj,jim christopher,0,9,,1990,1997,2,10,2.0
6Zn6lC8FR5OVpGZseIUGw9,the hi-jivers,14,2851,neo-rockabilly,2019,2023,6,6,3500.0
4Fp5RbAyFCujC0azeM2Vb5,jay blanes,15,3919,,2020,2023,20,1,5911.0
5U6UpI8U8YvSLa6wYGQ4kE,goodthink,0,355,instrumental djent,2012,2012,1,11,61.0
5SBuRHNKT2igHUz5zd7DVU,adam stringer,0,1,,-1,-1,0,0,0.0
7rB4viLXW5N1ioEuo2Iogz,dick lieb,2,26,,-1,-1,0,0,247.0
0H4TSFmuJEgl7IgibUnlTU,tears seven times,0,96,,2023,2023,2,1,69.0
7ANRn62g9PfzRxW1IyPiNJ,terry cook,0,3,,2022,2022,1,1,3.0
2bxhkkVpfdJIWVD58EM9h2,the white boys,7,1720,comedy rap,2014,2014,1,8,2127.0
3uaqrnzC50LVM7yBlP6WQg,daniel baeder,3,78,,2006,2023,8,1,529.0
7ogL64FibITJvIZLqp14il,lucy van dael,44,1218,baroque violin,1982,2022,15,10,407116.0
0PiCrBOVzwMyXow8Bhp5yh,riff fist,0,297,,2017,2017,3,4,102.0
15S4UuoGDB49RieXM0rzB5,open arms,2,735,,2018,2023,20,1,355.0
5ZqN5thqvMqi8HyKxM84Lp,audio dream,0,11,,2017,2017,1,3,60.0
0ktM7PMneJlD9FdEX9SSpZ,paranom,34,1313,boston hip hop,2012,2023,10,3,61009.0
5uM85CAltYaoSjziWcTaQV,carlo zardo,2,77,italian bass,2008,2012,3,15,436.0
5IWZhadLytfsAPtM8O8BcV,reggie griffin,5,142,,2023,2023,2,1,1150.0
1JuNbnzQ7k4qTd6x1cyKpq,john playford,32,1666,english baroque,1980,2024,10,1,70201.0
3HNQcQyqez3ji33YJuaWIj,gearx2,0,26,,-1,-1,0,0,60.0
4z2Vz3ViHD8xthnvhDIOqw,natural radio station,25,3878,j-reggae,2015,2020,9,1,22222.0
3NF6UnD0jD8UYkhRVmpf9O,opiate,18,3323,"danish experimental, deep idm, indie electronica",1999,2004,6,3,9664.0
3rFgLPogMLaihsdN4wC9MY,jan engelman,0,0,,-1,-1,0,0,12.0
2ZhKeUJs5r2mYsFCLK35zF,enamor,14,641,aesthetic rap,2019,2024,20,1,4036.0
1VB24TZ8nTCzqAAqGCKA0F,kim goody,0,2,,-1,-1,0,0,2.0
79JVyfhB9NybkyuTFPAWvd,optiks,1,86,,2017,2024,20,1,160.0
2XMkPjzAnAmy4uot8kdXpZ,teresa ceccato,0,2,,-1,-1,0,0,72.0
7grEZenp3weM3bZy3spzXy,julie black,2,514,,2007,2021,7,1,328.0
7CiPJlBCRd8EcrNST9Fdip,margaux bossieux,20,168,,-1,-1,0,0,0.0
4gthtsOtG4pEwhK0GpGQoU,dubvirus,9,2667,,2012,2021,10,4,2625.0
1ZJvhkmB8DGtY5SbMXD40t,dead dred,22,1513,jungle,1994,2022,9,2,30399.0
6Xk24tzDuOvlajjLGRmfkM,nuno norte,3,318,,2006,2018,2,1,507.0
2wJ20QLwyZbc5xYnJSABW3,mc paul barman,20,8537,new jersey rap,2000,2022,13,6,11429.0
12nLh2illa59OjztPfGFhD,bullyrag,0,57,,1998,1998,1,3,18.0
2MiLQuVFVwAY112fMLUvt8,tabernacle mcz,0,43,,2010,2010,1,13,127.0
3gpa9nmmqcDaag6qiNXcHT,voces risueñas de carayaca,1,654,,2013,2017,2,33,96.0
1NnBxpJzYpVAG6lqn4vPE0,crooked letter,0,133,,2015,2015,1,4,12.0
12fRkVfO2fUsz1QHgDAG3g,julia jacklin,54,285796,"chamber pop, countrygaze, indie pop, sydney indie",2016,2023,16,1,1162199.0
4wGNZEQkYdKcjASFo8ci0q,cool john ferguson,1,204,,2001,2015,4,12,143.0
